targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,1,8,0,7.28348,60.8545
1,0,39,0,5.2336,36.3533
0,1,8,0,3.8422,23.5724
1,1,20,0,5.57146,49.8581
1,1,16,0,7.27378,70.1584
3,0,39,1,5.83841,50.511
1,0,39,0,7.00746,70.9462
0,1,16,0,5.57601,46.4403
0,1,8,0,5.28169,42.6575
1,1,22,0,5.95192,58.53
2,0,39,1,7.18363,74.8191
1,0,39,0,5.7477,49.4284
0,0,39,0,6.18025,51.5877
2,0,39,1,5.60439,39.808
0,1,8,0,5.14413,38.0192
1,1,8,0,4.10419,23.8738
3,0,39,1,5.74629,43.6285
0,1,8,0,5.64883,60.1435
1,0,39,0,6.05343,45.6679
1,1,8,0,8.11443,77.6047
1,0,39,0,5.75456,47.7362
0,1,16,0,6.25273,59.853
1,1,8,0,5.9931,52.5675
1,1,16,0,5.08757,32.1079
0,1,8,0,6.70638,58.2983
1,0,39,0,5.96466,51.8692
1,0,39,0,5.5523,42.0273
0,1,20,0,6.09082,56.6972
2,0,39,1,5.60877,48.5176
1,1,27,0,5.35667,42.7473
0,1,16,0,7.52125,72.9021
4,0,39,1,5.51425,48.3914
1,0,39,0,5.08371,33.8176
0,1,8,0,7.33141,77.8816
2,0,39,1,5.56194,48.1016
2,0,39,1,5.8574,48.6447
2,0,39,1,5.49635,46.4734
4,0,39,1,5.50298,41.9324
2,1,16,0,5.81926,49.0121
2,0,39,1,6.40137,53.4913
1,0,39,0,5.51113,39.6414
1,0,39,0,6.8631,62.4203
0,1,16,0,5.66109,43.4758
1,1,8,0,6.40864,55.758
2,1,20,0,5.8356,46.5499
2,0,39,1,6.12606,53.9344
1,0,39,0,7.00943,75.5788
0,1,8,0,4.69442,28.7082
1,0,39,0,5.4882,42.1773
2,0,39,1,5.70411,50.0559
0,0,39,0,5.54064,42.6743
1,0,39,0,6.72022,69.4466
1,0,39,0,6.06062,55.8978
2,0,39,1,6.49503,63.3172
2,0,39,1,6.32551,58.4903
1,0,39,0,6.80243,65.7378
1,0,39,0,7.29076,81.3344
1,1,8,0,8.08226,85.3351
1,0,39,0,6.44125,56.5554
2,0,39,1,5.80461,54.2358
2,1,20,0,6.79536,64.6008
0,1,16,0,5.13254,41.218
1,0,39,0,7.18327,75.6596
1,1,16,0,8.77659,109.171
1,0,39,0,6.71538,64.9461
2,1,22,0,9.02598,107.931
0,1,16,0,7.01448,61.5533
1,1,16,0,6.51686,66.3192
2,0,39,1,6.99144,67.1337
0,1,16,0,6.78618,77.1083
1,0,39,0,6.13222,49.4464
2,0,39,1,5.76717,46.0494
1,0,39,0,5.30297,41.7926
2,0,39,1,6.73692,68.0877
1,0,39,0,7.07603,74.0548
2,0,39,1,5.87565,54.0122
0,0,39,0,6.23496,53.4196
0,1,16,0,6.60436,63.4328
3,0,39,1,5.74227,47.1161
0,1,8,0,5.77085,46.8067
3,0,39,1,5.50675,45.0331
2,0,39,1,6.15817,49.4936
1,0,39,0,6.2121,59.1916
0,0,39,0,5.97975,51.6944
1,1,20,0,7.31673,75.6612
3,0,39,1,6.88719,68.7714
2,0,39,1,5.04722,39.8269
0,1,8,0,5.94051,49.9368
1,0,39,0,6.05512,51.1603
1,0,39,0,5.14955,36.1984
1,1,16,0,7.52595,82.9777
3,0,39,1,6.51762,62.8847
0,1,8,0,5.15393,49.1533
1,1,20,0,7.25337,70.5171
2,0,39,1,5.76085,51.3642
2,1,16,0,8.39108,85.84
1,1,20,0,6.34658,64.1072
0,1,8,0,5.11408,33.0351
3,0,39,1,7.59512,81.4861
0,0,39,0,5.3576,37.5956
2,0,39,1,6.1749,56.2634
0,1,27,0,6.93264,71.5845
1,0,39,0,4.73577,33.0435
1,1,20,0,5.85275,52.4955
1,1,20,0,5.7197,51.5799
0,1,8,0,7.89076,79.4319
1,0,39,0,5.51234,45.8479
0,0,39,0,4.34938,25.1427
